name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AQUA ALLIANCE INC,AAI1,823556,009058108 038367108,NYSEMKT,True,Domestic Common Stock,Industrials,Engineering & Construction,8711,Services,Services-Engineering Services,,Business Services,USD,Massachusetts; U.S.A,bf03cfa3b18ed73729a7466db5a5cf00
ALTISOURCE ASSET MANAGEMENT CORP,AAMC,1555074,02153X108,NYSEMKT,False,Domestic Common Stock,Financial Services,Mortgage Finance,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Virgin Islands; U.S.,21b1152d52ce7419de10c97be1fcbb16
ALMADEN MINERALS LTD,AAUAF,1015647,020283305 020283107,NYSEMKT,True,ADR Common Stock,Basic Materials,Gold,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,CAD,British Columbia; Canada,99e756f7381b2340e49212221fca0d58
AUTOBOND ACCEPTANCE CORP,ABD1,1014747,052918109,NYSEMKT,True,Domestic Common Stock,Financial Services,Credit Services,6141,Finance Insurance And Real Estate,Personal Credit Institutions,,Banking,USD,Texas; U.S.A,aaaccfbbadee20b93e16ef6536770835
ACUSON CORP,ACN1,717014,005113105,NYSEMKT,True,Domestic Common Stock,Healthcare,Medical Devices,3845,Manufacturing,Electromedical & Electrotherapeutic Apparatus,,Medical Equipment,USD,California; U.S.A,b487add7e194363a44c8e62ebd96b714
AMERICAN COMMUNITY NEWSPAPERS INC,ACNI,1321544,02520T103 22274N102 22274N201 02520T202,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Publishing,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,Texas; U.S.A,c1657a543fb8d0a7cde2f9390f1257b1
ACME UNITED CORP,ACU,2098,004816104,NYSEMKT,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,3420,Manufacturing,Cutlery Handtools & General Hardware,,Construction Materials,USD,Connecticut; U.S.A,6e86dffebbb0a62b68d6f2333edae644
AMERICAN DEFENSE SYSTEMS INC,ADFS,1260996,025351107,NYSEMKT,True,Domestic Common Stock,Industrials,Electrical Equipment & Parts,3790,Manufacturing,Miscellaneous Transportation Equipment,,Automobiles and Trucks,USD,North Carolina; U.S.A,0d2ed6f71e7d13246abc5c4a5299e7fc
AMERICAN DG ENERGY INC,ADGE,1378706,025398108,NYSEMKT,True,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,Massachusetts; U.S.A,b7419cb340c9b57c2225edf422f268dd
ALLIED DEFENSE GROUP INC,ADGI1,3952,019118108 019483106,NYSEMKT,True,Domestic Common Stock,Industrials,Aerospace & Defense,3480,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),,Defense,USD,Virginia; U.S.A,688d9c251cffcfcdd689dbd1052ee570
ALLIED DIGITAL TECHNOLOGIES CORP,ADK1,933151,01912P109,NYSEMKT,True,Domestic Common Stock,Technology,Information Technology Services,3652,Manufacturing,Phonograph Records & Prerecorded Audio Tapes & Disks,,Recreation,USD,New York; U.S.A,43ee9980c3c6f9c3ca067267572b635c
AULT DISRUPTIVE TECHNOLOGIES CORP,ADRT,1864032,05150A104,NYSEMKT,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Nevada; U.S.A,4e903eee74dfc074ab12e14f1d52d56e
ADAMS RESOURCES & ENERGY INC,AE,2178,006351308,NYSEMKT,False,Domestic Common Stock,Energy,Oil & Gas Refining & Marketing,5172,Wholesale Trade,Wholesale-Petroleum & Petroleum Products (No Bulk Stations),,Wholesale,USD,Texas; U.S.A,07584b5434a9b810eea2a3dfdef75bc3
AEON BIOPHARMA INC,AEON,1837607,74275N102 00791X100,NYSEMKT,False,Domestic Common Stock Primary Class,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,California; U.S.A,7ac1aa50d82d2986ef904ef1d3974410
AEGIS REALTY INC,AER1,1043324,00760P104,NYSEMKT,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New York; U.S.A,f0bef386aadbbab4ea5406356d194ef0
AMERICAN OIL & GAS INC,AEZ,1120916,028723104,NYSEMKT,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,New York; U.S.A,e4a98dd03d2c280027d1c03a4d175c20
AMERICAN FARMLAND CO,AFCO,1474777,02589Y100,NYSEMKT,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New York; U.S.A,e95aecb424665daed3f586b7444312b4
ALARMGUARD HOLDINGS INC,AGD2,319250,011649100 896757101,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5900,Retail Trade,Retail-Miscellaneous Retail,,Retail,USD,Connecticut; U.S.A,b13f3426bd57da44ac4565bd80cadadf
AG&E HOLDINGS INC,AGNUQ,105608,949765101 00108M102,NYSEMKT,True,Domestic Common Stock,Technology,Communication Equipment,3663,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,,Electronic Equipment,USD,Nevada; U.S.A,d75430698eee64c41c695f0dcfd68774
ALLIED SYSTEMS HOLDINGS INC,AHIZQ,909950,019223106,NYSEMKT,True,Domestic Common Stock,Industrials,Trucking,4213,Transportation Communications Electric Gas And Sanitary Service,Trucking (No Local),,Transportation,USD,Georgia; U.S.A,926a9f904f9a082ba46d9828f5ba4ef5
ATC HEALTHCARE INC,AHNA,720480,00209C102 852377308,NYSEMKT,True,Domestic Common Stock,Industrials,Staffing & Employment Services,7363,Services,Services-Help Supply Services,,Business Services,USD,New York; U.S.A,03b1ffc5d89a3393398a67570d495f74
ATSI COMMUNICATIONS INC,AI1,1014052,00209G103 03018P108 25375L206 25375L107 00209G202,NYSEMKT,True,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Texas; U.S.A,d00da5dc25949a95a49387f49fd751e2
AMERICAN INSURED MORTGAGE INVESTORS,AIA1,724533,026862102,NYSEMKT,True,Domestic Common Stock,Financial Services,Asset Management,6799,Finance Insurance And Real Estate,Investors Nec,,Trading,USD,Maryland; U.S.A,cf16f1e6899f30c0f1979c38e473e5e6
ABLEST INC,AIH1,46653,00371W100 423076108,NYSEMKT,True,Domestic Common Stock,Industrials,Staffing & Employment Services,7363,Services,Services-Help Supply Services,,Business Services,USD,Florida; U.S.A,ddc3b2c339a20fd5fc15e1d5ef57017f
AMERICAN INSURED MORTGAGE INVESTORS SERIES 85 L P,AII,753281,02686E106,NYSEMKT,True,Domestic Common Stock,Financial Services,Asset Management,6799,Finance Insurance And Real Estate,Investors Nec,,Trading,USD,Maryland; U.S.A,a9f5ea0dd09b6f34b75c95ca7865e6d3
ACRE REALTY INVESTORS INC,AIII,1011109,00489F106 769900101,NYSEMKT,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New York; U.S.A,86dd63dc698d07e60cbe6c63230f2944
AMERICAN INSURED MORTGAGE INVESTORS L P SERIES 86,AIJ,784014,02686F103,NYSEMKT,True,Domestic Common Stock,Financial Services,Asset Management,6799,Finance Insurance And Real Estate,Investors Nec,,Trading,USD,Maryland; U.S.A,3fba9c96383ff7bf5968fd7c8a0ffcc0
AMERICAN INSURED MORTGAGE INVESTORS L P SERIES 88,AIK,811437,02686G101,NYSEMKT,True,Domestic Common Stock,Financial Services,Asset Management,6799,Finance Insurance And Real Estate,Investors Nec,,Trading,USD,Maryland; U.S.A,d0eacdacdc88a8bf7261e4f8486d5cc9
AIM IMMUNOTECH INC,AIM,946644,00901B105 42366C103 42366C301 42366C509,NYSEMKT,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Florida; U.S.A,3bf58fb5b57c60617dcef72370eb34ee
AEROSONIC CORP,AIM1,109471,008015307,NYSEMKT,True,Domestic Common Stock,Industrials,Aerospace & Defense,3812,Manufacturing,Search Detection Navagation Guidance Aeronautical Sys,,Electronic Equipment,USD,Florida; U.S.A,dbfc3328801d468bcf02d31b618b3d43
ASHFORD INC,AINC,1604738,044104107,NYSEMKT,False,Domestic Common Stock,Financial Services,Asset Management,8742,Services,Services-Management Consulting Services,,Business Services,USD,Texas; U.S.A,60c934011448311c2239b8c0c83ec09c
AIR INDUSTRIES GROUP,AIRI,1009891,00912N205 00912N403 00912N106 044814200 42216P205,NYSEMKT,False,Domestic Common Stock,Industrials,Aerospace & Defense,3728,Manufacturing,Aircraft Parts & Auxiliary Equipment Nec,,Aircraft,USD,New York; U.S.A,773725ad0ade395f26efaecdf370bd95
ABRDN EMERGING MARKETS EQUITY INCOME FUND INC,AEF,846676,00301W105 168834109,NYSEMKT,False,CEF,,,,,,,,USD,Pennsylvania; U.S.A,44ff01fa2059e0d19d8c56892122d34a
ASSISTED LIVING CONCEPTS INC,ALF1,929994,04543L109,NYSEMKT,True,Domestic Common Stock,Healthcare,Medical Care Facilities,8050,Services,Services-Nursing & Personal Care Facilities,,Healthcare,USD,Wisconsin; U.S.A,b23c46fa20f05b15bcd597dadc91969c
ALTERRA HEALTHCARE CORP,ALI,1013218,02146C104 02145K107,NYSEMKT,True,Domestic Common Stock,Healthcare,Health Information Services,8300,Services,Services-Social Services,,Personal Services,USD,Wisconsin; U.S.A,8dcc903096d7cd0fd4e283359cb2d06c
ALIO GOLD INC,ALO,1502154,88741P103 01627X108,NYSEMKT,True,ADR Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,f7f6b0f5d64f20af70da91b6614cc352
ALTEVA INC,ALTV,104777,02153V102 936750108,NYSEMKT,True,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Pennsylvania; U.S.A,4da91107703ee8010768f636eeffd086
ALLOU HEALTH & BEAUTY CARE INC,ALU1,846538,019782101,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Leisure,5122,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,,Wholesale,USD,New York; U.S.A,9056da1cfc902bc531c2d1cc4158f2e1
AMBIPAR EMERGENCY RESPONSE,AMBI,1937441,G32219100 G02532102,NYSEMKT,False,ADR Common Stock Primary Class,Industrials,Waste Management,4955,Transportation Communications Electric Gas And Sanitary Service,Hazardous Waste Management,,Almost Nothing,BRL,Brazil,25bd476e5a86ad42ae094fc645985188
AMBOW EDUCATION HOLDING LTD,AMBO,1494558,02322P200 02322P101 02322P309,NYSEMKT,False,ADR Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,CNY,China,93340e8dd85249587094d5caa11ad4ea
AMERICAN TECHNICAL CERAMICS CORP,AMK1,766430,030137103,NYSEMKT,True,Domestic Common Stock,Industrials,Electrical Equipment & Parts,3670,Manufacturing,Electronic Components & Accessories,,Electronic Equipment,USD,New York; U.S.A,dab76c1b3620222e12f4d70dde043ce4
AMNET MORTGAGE INC,AMNT,1035744,02926T103 03169A108,NYSEMKT,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,California; U.S.A,f3b4b0725f67476efd9f0d2020f3dbd3
AMPIO PHARMACEUTICALS INC,AMPE,1411906,03209T109 03209T208 03209T307,NYSEMKT,True,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Colorado; U.S.A,a6034b2670f4222520e8a4fb07ac7c1a
AMERICAN SHARED HOSPITAL SERVICES,AMS,744825,029595105,NYSEMKT,False,Domestic Common Stock,Healthcare,Medical Care Facilities,8071,Services,Services-Medical Laboratories,,Healthcare,USD,California; U.S.A,bbb03ad4fd7873839e3d46d2049e5d54
