name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AVANTAIR INC,AAIR,1303849,05350T101 03979E100,OTC,True,Domestic Common Stock,Industrials,Airports & Air Services,4522,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,,Transportation,USD,Florida; U.S.A,b71f47610f0b708f30f7a2da98c6bc98
ABTECH HOLDINGS INC,ABHD,1405858,00400H108 00400H207,OTC,True,Domestic Common Stock,Basic Materials,Uranium,1090,Mining,Miscellaneous Metal Ores,,Non-Metallic and Industrial Metal Mining,USD,Arizona; U.S.A,97df33c6904298396f07475f5d484227
AMACORE GROUP INC,ACGI,949394,022624100,OTC,True,Domestic Common Stock,Technology,Software - Application,7389,Services,Services-Business Services Nec,,Business Services,USD,Florida; U.S.A,ca79ab8a59bd68e96037a27fae1d422c
ARTEC GLOBAL MEDIA INC,ACTL,1561865,04300E108 04300F105,OTC,True,Domestic Common Stock,Technology,Software - Application,7389,Services,Services-Business Services Nec,,Business Services,USD,California; U.S.A,52d8d1db7fae3cfd168bd77e79eaf6ac
AFFINITY MEDIA INTERNATIONAL CORP,AFMI,1336654,00828Q102 00828Q201,OTC,True,Domestic Common Stock,Consumer Cyclical,Internet Retail,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,USD,California; U.S.A,e40618ca26af6b612796625b71894699
ALUMIFUEL POWER CORP,AFPW,1108046,45719U100 022201107 022201305,OTC,True,Domestic Common Stock,Basic Materials,Specialty Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,Colorado; U.S.A,457fedd7d0e494c08ee2385f0e8ef940
ARIS INDUSTRIES INC,AISIQ,100979,040401101,OTC,True,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,USD,New York; U.S.A,b0754b93e6bdd563ac0223d0a5aec6e7
AJS BANCORP INC,AJSB,1576336,001503101,OTC,True,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Illinois; U.S.A,615e2200e04a05a96bca8e750ce2e235
ANPULO FOOD INC,ANPFF,1500366,G03926105,OTC,True,ADR Common Stock,Consumer Defensive,Packaged Foods,2011,Manufacturing,Meat Packing Plants,,Food Products,USD,China,f7e1e827da8705ea3cc6825643e434ac
ATLAS TECHNOLOGY INTERNATIONAL INC,ATLT,1624982,87042J105,OTC,True,Domestic Common Stock,Consumer Defensive,Packaged Foods,2050,Manufacturing,Bakery Products,,Food Products,USD,California; U.S.A,4bc3677f8a147b5119c18bd9a7b22619
ARTVENTIVE MEDICAL GROUP INC,AVTD,1405249,04317X107,OTC,True,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,California; U.S.A,91bd811518d43e5e24137f1170683306
ARABELLA EXPLORATION INC,AXPLF,1506374,G5693V105 G04449107 G04449115,OTC,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,47aaa94dfbe24be110843deab21b2453
AZTEC OIL & GAS INC,AZGS,789606,055000103,OTC,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,d47ee1b29627f62ccbea574fda241368
5BARZ INTERNATIONAL INC,BARZ,1454124,33833F100,OTC,True,Domestic Common Stock,Technology,Communication Equipment,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,USD,California; U.S.A,c38b21eb24271a89868d0412c8645f9a
BANNER CENTRAL FINANCE CO,BCFN,1125633,06652W107,OTC,True,Domestic Common Stock,Financial Services,Credit Services,6199,Finance Insurance And Real Estate,Finance Services,,Banking,USD,California; U.S.A,47be6ae32654a6783454e7863ffa0574
BLUE CALYPSO INC,BCYP1,1399587,09531B203 09531B302,OTC,True,Domestic Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,USD,Texas; U.S.A,8acc82605db27af09fbad4d52a3e6df9
BREKFORD TRAFFIC SAFETY INC,BFDI,1357115,873570105 106787104,OTC,True,Domestic Common Stock,Technology,Communication Equipment,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,USD,Maryland; U.S.A,6187b237844a497be999bdc218215ca6
PREMIER BIOMEDICAL INC,BIEI,1515740,74048K104,OTC,True,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Pennsylvania; U.S.A,76a167f8420b9f6377737dc39eb9b4b2
DTS8 COFFEE COMPANY LTD,BKCT,1499361,23338B100,OTC,True,Domestic Common Stock,Consumer Defensive,Food Distribution,5141,Wholesale Trade,Wholesale-Groceries General Line,,Wholesale,USD,British Columbia; Canada,05e7f83619d7987d75c5431aa427167d
BAKKEN RESOURCES INC,BKKN,1450390,05758P107,OTC,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Montana; U.S.A,29fd04f3f6f134c3cf0d908098c14864
BLACK STALLION OIL & GAS INC,BLKG,1542335,09225H102,OTC,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,California; U.S.A,5077f0ac3d687c8c46d83a6458d73ff2
BALTIA AIR LINES INC,BLTA,869187,058823105,OTC,True,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,USD,New York; U.S.A,cfa39be0bbe7b1770b62da9672b12039
BOOMERANG SYSTEMS INC,BMERQ,314712,09858M204 09858M105 257469205,OTC,True,Domestic Common Stock,Industrials,Specialty Industrial Machinery,3510,Manufacturing,Engines & Turbines,,Machinery,USD,New Jersey; U.S.A,f50153b04e59426da5b8d587431a7dbb
BIOMEDICAL TECHNOLOGY SOLUTIONS HOLDINGS INC,BMTL,1443062,090619107,OTC,True,Domestic Common Stock,Industrials,Waste Management,4955,Transportation Communications Electric Gas And Sanitary Service,Hazardous Waste Management,,Almost Nothing,USD,Florida; U.S.A,173e65c35bd5664668010f71934979ad
BATTLE MOUNTAIN GOLD INC,BMTNF,1038621,557808102 55744F101 07159Y109,OTC,True,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,CAD,British Columbia; Canada,534cbc6adbc9838cb780510a87110fdc
BOHAI PHARMACEUTICALS GROUP INC,BOPH,1443242,097316103,OTC,True,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,China,746d52e7ada2778304aad16c38042aaa
BURNS PHILP & CO LTD,BPHCY,929716,122393309,OTC,True,ADR Common Stock,Consumer Defensive,Packaged Foods,2090,Manufacturing,Miscellaneous Food Preparations & Kindred Products,,Food Products,AUD,Australia,8e0a24c38a6773ddf881fd00c751f6a8
BIOSHAFT WATER TECHNOLOGY INC,BSHF,1365784,09070W105,OTC,True,Domestic Common Stock,Industrials,Waste Management,4950,Transportation Communications Electric Gas And Sanitary Service,Sanitary Services,,Almost Nothing,USD,California; U.S.A,5af5e643bd6587e863f587a267730bbc
BEAMZ INTERACTIVE INC,BZIC,1423357,07378U102,OTC,True,Domestic Common Stock,Technology,Consumer Electronics,3651,Manufacturing,Household Audio & Video Equipment,,Recreation,USD,Arizona; U.S.A,05ab8161df8e411e81cd27626646ac7c
CULLEN AGRICULTURAL HOLDING CORP,CAGZ,1471256,229894100,OTC,True,Domestic Common Stock,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Georgia; U.S.A,c7a604f8c11758a4bd003bb7a7d37298
CBA FLORIDA INC,CBAI,1289496,21839P107,OTC,True,Domestic Common Stock,Healthcare,Diagnostics & Research,8071,Services,Services-Medical Laboratories,,Healthcare,USD,Nevada; U.S.A,96ee31a77630c0291976dff505253bfc
CCC GLOBALCOM CORP,CCGC,854164,12501C102,OTC,True,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Utah; U.S.A,3732add63d1144792a747c2dc3c2764a
COMPETITIVE COMPANIES INC,CCOP,1161706,204510101,OTC,True,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Texas; U.S.A,511599b109e8d2dc610b31dcf12bd780
CAN CAL RESOURCES LTD,CCRE,1083848,134705102,OTC,True,Domestic Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,Alberta; Canada,e6a577b66397c19233e22ccda597c55d
